GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB191024A,931242.0,7.084,0.9782434,,,4.0899999999999996e-11
GRB191019A,930285.0,64.348,4.449649,0.248,,3.3399999999999996e-11
GRB191017B,929981.0,4.328,0.5712057,,,4.2899999999999995e-11
GRB191016A,929744.0,126.68,7.72798,,,3.52e-11
GRB191011A,928924.0,7.352,0.9371702,1.722,,3.4599999999999996e-11
GRB191004B,927839.0,300.128,81.82884,3.503,,4.0899999999999996e-11
GRB191004A,927825.0,2.444,0.0823651,,,3.5399999999999995e-11
GRB191001B,927345.0,107.136,9.354354,,,
GRB190926A,926515.0,362.34,19.60651,,,4.12e-11
GRB190829A,922968.0,56.896,47.0011,0.0785,+0.005-0.005,4.73e-11
GRB190828B,922808.0,715.856,451.9719,,,3.45e-11
GRB190824A,922107.0,169.36,5.85471,,,4.5599999999999996e-11
GRB190821A,921722.0,57.096,2.596151,,,4.53e-11
GRB190816A,920783.0,375.76,92.22019,,,
GRB190727B,916733.0,39.196,1.311341,,,
GRB190719C,915381.0,185.828,9.597204,2.469,,4.2199999999999994e-11
GRB190718A,915091.0,704.0,995.6063,,,4.0599999999999994e-11
GRB190706B,913302.0,43.584,14.79785,,,3.8099999999999996e-11
GRB190701A,912310.0,52.432,4.017561,,,4.63e-11
GRB190630C,912239.0,38.384,9.308885,,,2.3399999999999998e-11
GRB190630B,912102.0,5.568,0.9029042,,,
GRB190627A,911609.0,2.692,0.8809541,1.942,,3.49e-11
GRB190613B,908329.0,160.82,17.08426,,,3.74e-11
GRB190613A,908288.0,17.632,3.113922,,,3.49e-11
GRB190611A,907950.0,41.76,30.62172,,,4.62e-11
GRB190610A,907754.0,0.632,0.1006578,,,
GRB190604B,906654.0,220.176,4.721114,,,3.6499999999999997e-11
GRB190519A,904394.0,44.48,2.585869,,,4.91e-11
GRB190515B,903845.0,46.512,9.644513,,,3.33e-11
GRB190512A,903357.0,40.072,11.33085,,,
GRB190511A,903158.0,27.664,2.354176,,,3.25e-11
GRB190427A,900730.0,0.1919999,0.2023858,,,
GRB190424A,900285.0,9.836,3.917965,,,
GRB190422A,899979.0,269.016,50.72131,,,5.46e-11
GRB190331A,895813.0,4.336,0.2347765,,,
GRB190326A,895006.0,0.07599998,0.03224899,,,
GRB190324A,894718.0,22.784,10.14973,1.1715,,3.28e-11
GRB190320A,893808.0,63.0,12.08305,,,3.52e-11
GRB190311A,892607.0,13.952,5.315565,,,3.76e-11
GRB190220A,889785.0,10.0,2.0,,,4.53e-11
GRB190219A,889748.0,167.74,12.79419,,,3.23e-11
GRB190211A,888648.0,10.896,1.543399,,,3.3799999999999996e-11
GRB190204A,887579.0,26.324,7.549788,,,4.3399999999999994e-11
GRB190203A,887512.0,86.56,64.57987,,,5.3e-11
GRB190202A,887217.0,16.0,5.274955,,,3.4199999999999996e-11
GRB190123A,885314.0,25.124,4.068661,,,7.33e-11
GRB190114C,883832.0,361.46,11.73603,0.42,,7.28e-11
GRB190114B,883818.0,26.492,6.690422,,,3.04e-11
GRB190114A,883600.0,67.096,9.829423,3.3765,,3.7699999999999996e-11
GRB190110A,883012.0,9.304,0.8390948,,,
GRB190109B,882809.0,6.512,0.790706,,,3.8999999999999995e-11
GRB190109A,882747.0,115.008,33.89175,,,3.48e-11
GRB190106A,882252.0,78.096,2.085136,1.859,,3.5099999999999994e-11
GRB190103B,881709.0,19.52,2.716798,,,3.9399999999999994e-11
GRB181228A,879909.0,255.152,138.0249,,,4.54e-11
GRB181224A,878911.0,12.488,4.203418,,,
GRB181213A,876016.0,15.296,1.381014,<2.4,,3.1399999999999996e-11
GRB181203A,874475.0,15.06,1.762989,,,3.8999999999999995e-11
GRB181202A,874334.0,6.56,0.6153373,,,4.3200000000000003e-11
GRB181126A,873539.0,2.092,0.1189285,,,3.0599999999999996e-11
GRB181125A,873433.0,10.512,4.78725,,,
GRB181123B,873186.0,0.26,0.04560707,,,3.17e-11
GRB181110A,871316.0,138.424,10.92778,1.505,,3.64e-11
GRB181103A,870201.0,9.168,2.872936,,,3.74e-11
GRB181030A,869494.0,303.196,78.59816,,,4.03e-11
GRB181027A,868984.0,81.304,12.10597,,,
GRB181023A,868427.0,56.984,8.033103,,,3.8999999999999995e-11
GRB181022A,868312.0,7.936,2.584365,,,4.4199999999999993e-11
GRB181020A,867987.0,238.016,11.59881,2.938,,3.29e-11
GRB181016A,867252.0,111.344,25.6273,,,
GRB181013A,866783.0,104.208,53.69581,,,3.8099999999999996e-11
GRB181010A,866434.0,15.564,2.192793,1.39,,4.0199999999999994e-11
GRB181003A,865179.0,25.492,4.762363,,,
GRB181002A,865036.0,63.408,12.34832,,,2.79e-11
GRB180930A,864584.0,6.804,0.9557908,,,3.17e-11
GRB180925A,863421.0,82.632,23.64131,,,3.8599999999999995e-11
GRB180924A,863186.0,94.816,11.84242,,,3.35e-11
GRB180905A,859421.0,165.344,28.8995,,,4.83e-11
GRB180904A,859282.0,4.632,1.031591,,,3.3799999999999996e-11
GRB180828A,856977.0,13.0,9.0,,,1.67e-10
GRB180823A,855434.0,80.296,6.893024,,,3.2e-11
GRB180821A,854578.0,64.0,22.62742,,,2.5299999999999996e-11
GRB180818B,853882.0,137.46,9.700067,,,3.8099999999999996e-11
GRB180818A,853824.0,13.712,4.050537,,,3.0299999999999995e-11
GRB180812A,852903.0,16.528,0.9701546,,,3.57e-11
GRB180809B,852553.0,233.244,1.124455,,,4.2999999999999994e-11
