grb_name,flare_num,t_start,t_peak,t_stop,par_t_start,par_rise,par_decay,par_amp,par_t_start_err,par_rise_err,par_decay_err,par_amp_err,fluence_tot,fluence_rise,fluence_decay,peak_flux,peak_flux_err,redshift,conversion,t_rise,t_decay,t_wait,duration,d_l,e_iso,L_p,L_iso
GRB080430A,1,89.494,92.974,114.115,88.30225260815413,7.0681147833725335,4.056391737214992,77.30987489752336,1.4036643056368163,5.455504396184623,0.6691679704611637,32.2131763658464,0.0,0.0,0.0,0.0,0.0,,0.0,3.480000000000004,21.14099999999999,,24.620999999999995,,,,
GRB050822A,1,388.286,401.043,440.549,385.12256269286064,37.39241729673619,19.548515352945145,29.8849918020828,5553263.84832639,95526.36003670564,48561.18206368411,121132.0109458907,0.0,0.0,0.0,0.0,0.0,,0.0,12.757000000000005,39.50599999999997,,52.26299999999998,,,,
GRB050822A,2,1141.236,1258.274,1634.27,1208.8351909512307,1.1191983366210343e-05,94.752723590833,2.276840596078008,6633287.231766413,4824130.048159276,15.180570185454316,159392.86355655032,0.0,0.0,0.0,0.0,0.0,,0.0,117.03799999999978,375.9960000000001,752.95,493.0339999999999,,,,
GRB070517A,1,209.609,311.079,322.328,199.09886522754107,138.45809492866275,2.976108149864257,3.4496492426777965e-13,8.116616068180805,0.0,0.0,7.206388571898451e-13,0.0,0.0,0.0,0.0,0.0,,0.0,101.47,11.248999999999967,,112.71899999999997,,,,
GRB070517A,2,331.19,345.379,399.975,319.63494367710393,65.25530853213772,10.858838832470614,5.99011163875403,4.785805841533087,34.486039394283665,1.4854193637048794,14.080300700835684,0.0,0.0,0.0,0.0,0.0,,0.0,14.189000000000021,54.596000000000004,121.58099999999999,68.78500000000003,,,,
GRB050406A,1,156.562,211.113,430.315,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,54.55099999999999,219.202,,273.753,,,,
GRB060512A,1,197.447,202.52,208.163,198.59883629608177,2.052604390847028e-05,2.279191882294736,56.2576209787813,1.396300270049124,1.438728522900875,1.9063214922246567,91.29644120821058,0.0,0.0,0.0,0.0,0.0,,0.0,5.0730000000000075,5.643000000000001,,10.716000000000008,,,,
GRB060512A,2,226.689,228.627,233.795,229.78210145671557,17.772157321921185,0.4358560841932056,1.4569021469710822e-11,0.6342248214880382,0.0,0.2049801521688274,5.694767663805339e-12,0.0,0.0,0.0,0.0,0.0,,0.0,1.9380000000000166,5.167999999999978,29.24199999999999,7.1059999999999945,,,,
GRB060502A,1,241.142,249.591,256.063,232.40275513701323,109.77970748147288,2.503771370462229,2.2955703971246545e-11,0.2370622892892494,0.0,0.091883312766825,3.0944991991635974e-11,1.4668495808657566e-07,7.63300447736959e-08,7.035491331287977e-08,1.7056001549999997e-08,2.095155237e-09,1.5026,3.29e-11,8.449000000000012,6.47199999999998,96.35658914728681,14.920999999999992,3.4415435926235253e+28,8.723897510593978e+50,1.0143835564578548e+50,1.4632012539382415e+50
GRB080613A,1,274.174,296.662,329.19,268.8461365468464,131.88932069415097,8.188855173610968,0.018890260502127,5.803115334632508,71.4207790120881,1.3434216428265229,0.1599249943537358,0.0,0.0,0.0,0.0,0.0,,0.0,22.488,32.52800000000002,,55.01600000000002,,,,
